,startYear,titleType,primaryTitle
0,1991,movie,4308
1,1991,tvSeries,1373
2,1992,movie,4263
3,1992,tvSeries,1573
4,1993,movie,4041
5,1993,tvSeries,1618
6,1994,movie,4092
7,1994,tvSeries,1830
8,1995,movie,4252
9,1995,tvSeries,1960
10,1996,movie,4260
11,1996,tvSeries,2095
12,1997,movie,4595
13,1997,tvSeries,2303
14,1998,movie,4719
15,1998,tvSeries,2401
16,1999,movie,4859
17,1999,tvSeries,2611
18,2000,movie,5092
19,2000,tvSeries,2726
20,2001,movie,5470
21,2001,tvSeries,3020
22,2002,movie,5647
23,2002,tvSeries,3099
24,2003,movie,5896
25,2003,tvSeries,3470
26,2004,movie,6507
27,2004,tvSeries,3665
28,2005,movie,7458
29,2005,tvSeries,4163
30,2006,movie,8027
31,2006,tvSeries,4786
32,2007,movie,8633
33,2007,tvSeries,5006
34,2008,movie,10171
35,2008,tvSeries,5326
36,2009,movie,11596
37,2009,tvSeries,5700
38,2010,movie,12447
39,2010,tvSeries,6355
40,2011,movie,13323
41,2011,tvSeries,7650
42,2012,movie,14273
43,2012,tvSeries,8374
44,2013,movie,15018
45,2013,tvSeries,8700
46,2014,movie,16005
47,2014,tvSeries,8976
48,2015,movie,16305
49,2015,tvSeries,9717
50,2016,movie,17467
51,2016,tvSeries,9885
52,2017,movie,17985
53,2017,tvSeries,10067
54,2018,movie,18227
55,2018,tvSeries,9959
56,2019,movie,17985
57,2019,tvSeries,9789
58,2020,movie,15550
59,2020,tvSeries,10867
60,2021,movie,17736
61,2021,tvSeries,10269
62,2022,movie,19258
63,2022,tvSeries,8921
64,2023,movie,18342
65,2023,tvSeries,7493
66,2024,movie,7246
67,2024,tvSeries,2482
